iter	MultiClass
0	3.557233896
1	3.492751311
2	3.436394002
3	3.367436968
4	3.301688864
5	3.245431217
6	3.194700738
7	3.12613201
8	3.065994439
9	3.008516402
10	2.958158873
11	2.902395775
12	2.850880849
13	2.805563774
14	2.759664083
15	2.715935018
16	2.672246382
17	2.635855953
18	2.590611586
19	2.551197135
20	2.515331969
21	2.475223331
22	2.435782554
23	2.39701998
24	2.357487376
25	2.331503793
26	2.297707711
27	2.265897033
28	2.237841233
29	2.204718339
30	2.174358089
31	2.143541681
32	2.116818312
33	2.083653579
34	2.054738585
35	2.02689339
36	1.999266638
37	1.970544543
38	1.946138316
39	1.921257283
40	1.899299984
41	1.87490974
42	1.859431412
43	1.834923643
44	1.809772771
45	1.787691677
46	1.770626122
47	1.747270263
48	1.724903347
49	1.701642919
50	1.680063113
51	1.659708868
52	1.639551439
53	1.625011282
54	1.606968068
55	1.591016973
56	1.57425103
57	1.562551085
58	1.550865399
59	1.532028805
60	1.515964885
61	1.501824787
62	1.485056024
63	1.467911648
64	1.452955136
65	1.43602168
66	1.418050235
67	1.406978348
68	1.390856918
69	1.374588189
70	1.361287383
71	1.346878228
72	1.338201834
73	1.323333858
74	1.311492567
75	1.299534534
76	1.285189314
77	1.272048108
78	1.258929859
79	1.247098362
80	1.237795946
81	1.227005416
82	1.214307283
83	1.200337127
84	1.187271216
85	1.17507962
86	1.165465995
87	1.15343494
88	1.141283145
89	1.130487053
90	1.117766511
91	1.105479406
92	1.09382741
93	1.085547392
94	1.075106933
95	1.064253644
96	1.057030811
97	1.046470789
98	1.03858934
99	1.031877745
100	1.021784928
101	1.011862602
102	1.002660396
103	0.9932866029
104	0.983453283
105	0.9744464056
106	0.964962843
107	0.9569064374
108	0.9486875326
109	0.9417495825
110	0.9332588793
111	0.9242795814
112	0.9181658802
113	0.9100211735
114	0.9027128599
115	0.8967322765
116	0.8900448918
117	0.8815516813
118	0.8740187365
119	0.867378989
120	0.8640087358
121	0.858016243
122	0.8510555713
123	0.8450742043
124	0.8390461404
125	0.8347709372
126	0.8280582452
127	0.8209919568
128	0.814361063
129	0.8059401702
130	0.8003299503
131	0.7938237123
132	0.7872174989
133	0.779980171
134	0.7737893728
135	0.7677186861
136	0.7624190481
137	0.7580631437
138	0.7518514259
139	0.745077307
140	0.7398622094
141	0.7339494776
142	0.7299593924
143	0.7249542746
144	0.7199661588
145	0.7146397249
146	0.7125418079
147	0.7074350692
148	0.7023682894
149	0.6959519197
150	0.6922185895
151	0.6875847754
152	0.6819193966
153	0.677645447
154	0.6737057413
155	0.6684075136
156	0.6643727686
157	0.6616491433
158	0.656422724
159	0.6526809712
160	0.6483745844
161	0.6458498131
162	0.6410291327
163	0.6362378337
164	0.6321847154
165	0.6295527212
166	0.6250758434
167	0.6210674634
168	0.6160696713
169	0.612460762
170	0.6091592223
171	0.605134036
172	0.6012241819
173	0.5967105577
174	0.5932442466
175	0.5891399261
176	0.5861099498
177	0.5843913283
178	0.5804430823
179	0.5785174192
180	0.5744105132
181	0.5706680552
182	0.5666788319
183	0.5628099552
184	0.5599363667
185	0.5567396602
186	0.5534412546
187	0.5509991432
188	0.5473018543
189	0.5451235104
190	0.5420623113
191	0.5414729577
192	0.5391012836
193	0.5354268731
194	0.5332625148
195	0.5304612048
196	0.5279853243
197	0.5248669293
198	0.5214531914
199	0.5195695635
200	0.5183556768
201	0.5155685092
202	0.5127188569
203	0.5118787812
204	0.5090191
205	0.5062181426
206	0.5041197555
207	0.5023083668
208	0.5003621367
209	0.4973265191
210	0.4957494772
211	0.4950543503
212	0.4920061574
213	0.4889964347
214	0.4862053495
215	0.4833856663
216	0.4807437608
217	0.4787146357
218	0.477420753
219	0.4743875251
220	0.4724160269
221	0.4719896427
222	0.4709621522
223	0.4689620169
224	0.4662693401
225	0.4646284424
226	0.4633480361
227	0.4610353208
228	0.4583587451
229	0.4556152187
230	0.45456532
231	0.4524614092
232	0.4502641044
233	0.4481716327
234	0.445757375
235	0.4435656723
236	0.4415588771
237	0.4400359363
238	0.4374444102
239	0.4364481817
240	0.4348915502
241	0.4322418095
242	0.431406905
243	0.4310115476
244	0.4306071408
245	0.4286977746
246	0.4261874198
247	0.4242662227
248	0.4225696569
249	0.4202427209
250	0.417852556
251	0.416035056
252	0.4153612795
253	0.4141523682
254	0.4128112401
255	0.4124175281
256	0.4107698923
257	0.4102486254
258	0.409293531
259	0.4080951578
260	0.4063246682
261	0.4051385177
262	0.403138539
263	0.4016315426
264	0.4013604102
265	0.4011010695
266	0.4005035675
267	0.3994677327
268	0.3981441552
269	0.3969758295
270	0.3964799874
271	0.3951131603
272	0.3949227682
273	0.3929351297
274	0.3906296619
275	0.3901134486
276	0.3887930443
277	0.3884264024
278	0.3867034324
279	0.384865287
280	0.384132395
281	0.3838456317
282	0.3832507935
283	0.3820559461
284	0.381642333
285	0.3806591499
286	0.3787495487
287	0.3775620271
288	0.3771764244
289	0.3752301942
290	0.3738668929
291	0.3736962452
292	0.3727938808
293	0.3708505104
294	0.369982346
295	0.3696821063
296	0.3684660259
297	0.3676260286
298	0.3666833919
299	0.3658495451
300	0.3652150224
301	0.3632911614
302	0.3617745278
303	0.3615454697
304	0.36015169
305	0.359879304
306	0.3594540558
307	0.3574982669
308	0.3566068324
309	0.3554729418
310	0.3551266319
311	0.3536529345
312	0.3527475536
313	0.3516211846
314	0.3510433878
315	0.3507369192
316	0.3501744399
317	0.3483498491
318	0.3463730622
319	0.345147188
320	0.3445155642
321	0.3436705916
322	0.3415610004
323	0.3411842513
324	0.3404870872
325	0.3394121946
326	0.3385057168
327	0.3376292472
328	0.3370686483
329	0.3362379747
330	0.3355405756
331	0.3344310521
332	0.3342464187
333	0.3336171455
334	0.3334019946
335	0.3332688377
336	0.3324525023
337	0.3321424687
338	0.3315628698
339	0.3314018592
340	0.3312641971
341	0.3296674501
342	0.3285732832
343	0.3272350541
344	0.3269833919
345	0.3267643626
346	0.3253857046
347	0.3252268486
348	0.323616018
349	0.3229500963
350	0.3222548126
351	0.321540764
352	0.3205360344
353	0.3200618171
354	0.3187020807
355	0.3185154103
356	0.3179431959
357	0.3175506788
358	0.3165070089
359	0.3155029845
360	0.3144920261
361	0.313585705
362	0.3129177657
363	0.3121876943
364	0.3118945649
365	0.310936787
366	0.3103743077
367	0.3089424104
368	0.3084966344
369	0.3081427245
370	0.3073790799
371	0.307186063
372	0.3069123646
373	0.3063909607
374	0.3059570352
375	0.3051212884
376	0.3042871086
377	0.3036921529
378	0.3033412204
379	0.3026763563
380	0.3018060765
381	0.3009607122
382	0.3006230209
383	0.2994053342
384	0.2988985818
385	0.2979033915
386	0.2971445066
387	0.2963021
388	0.2961635565
389	0.294896176
390	0.294514765
391	0.2939840961
392	0.2938509391
393	0.292566772
394	0.292060901
395	0.291589426
396	0.2908880506
397	0.2898847117
398	0.2887591655
399	0.2885024496
400	0.2875278458
401	0.2870175089
402	0.2865344771
403	0.2857667583
404	0.285062856
405	0.2844722488
406	0.2832474519
407	0.2824913289
408	0.2820211075
409	0.2806512443
410	0.2802853272
411	0.27948523
412	0.2788363299
413	0.2786661523
414	0.2775897319
415	0.2765283156
416	0.2760166467
417	0.2757877844
418	0.2753838673
419	0.27483269
420	0.2746495846
421	0.2745159183
422	0.274221457
423	0.2740286557
424	0.2737122366
425	0.2727241565
426	0.2723492486
427	0.2717388579
428	0.2707748315
429	0.2704298732
430	0.2699827064
431	0.2698425371
432	0.2696012367
433	0.2689588202
434	0.2687216136
435	0.2685727669
436	0.2684646626
437	0.2681281074
438	0.2674284361
439	0.2665329861
440	0.2663211455
441	0.2657640332
442	0.2655943649
443	0.2646685344
444	0.2640274694
445	0.2638539619
446	0.2636747348
447	0.2631658865
448	0.2627209723
449	0.2620734042
450	0.2619210318
451	0.2618327698
452	0.2614240732
453	0.2612959307
454	0.261095118
455	0.2609300919
456	0.2605029438
457	0.2603352734
458	0.2598739448
459	0.2592290014
460	0.258284406
461	0.257820766
462	0.2569988677
463	0.2568117663
464	0.2562868366
465	0.2554591599
466	0.2550683664
467	0.25452475
468	0.2541888216
469	0.253539138
470	0.25304643
471	0.2525004826
472	0.2523261329
473	0.2522371069
474	0.2519412941
475	0.2513837117
476	0.2509054593
477	0.2507510302
478	0.2499914598
479	0.2498954411
480	0.2493041287
481	0.2489727446
482	0.2488025278
483	0.2486730534
484	0.2479981801
485	0.2468991751
486	0.2461473418
487	0.2457152772
488	0.2450463585
489	0.2448380241
490	0.2446255568
491	0.2442798541
492	0.2441747663
493	0.244066564
494	0.2438442637
495	0.2436676613
496	0.2435876653
497	0.2434450671
498	0.2432854864
499	0.2428935765
500	0.2426241873
501	0.2424712861
502	0.242310628
503	0.2421455236
504	0.2417685395
505	0.241110727
506	0.2409974712
507	0.2403460834
508	0.2401317944
509	0.2399059878
510	0.2397233329
511	0.2394815428
512	0.2386049949
513	0.2379291422
514	0.2378272472
515	0.2376866469
516	0.2371520604
517	0.2369599642
518	0.2367981897
519	0.2367353133
520	0.2364996346
521	0.2359147861
522	0.2357836467
523	0.2355228566
524	0.2353741471
525	0.2352136654
526	0.2349220442
527	0.2347296934
528	0.2345307219
529	0.2333571859
530	0.2331075999
531	0.2330209832
532	0.2328523335
533	0.2327204497
534	0.2325403804
535	0.2318137564
536	0.2314305042
537	0.2312964659
538	0.2312136688
539	0.2307894784
540	0.2306515421
541	0.2305071026
542	0.2302976322
543	0.2301830052
544	0.2300951741
545	0.2300291441
546	0.2297418518
547	0.2293134305
548	0.2284794074
549	0.228361666
550	0.2280770181
551	0.227982253
552	0.2272253269
553	0.2269750162
554	0.226885383
555	0.2267197498
556	0.2265512959
557	0.2260922198
558	0.2259629804
559	0.225444162
560	0.2252296771
561	0.2250763057
562	0.2250054767
563	0.2248335754
564	0.224683338
565	0.2243470962
566	0.2238573459
567	0.223666327
568	0.2232051355
569	0.2230944456
570	0.2227777719
571	0.2224995683
572	0.2224021197
573	0.221769634
574	0.2212709517
575	0.2210457328
576	0.2208595129
577	0.2205440732
578	0.2200647631
579	0.2199642588
580	0.2194765064
581	0.2188631383
582	0.2182787992
583	0.2179886276
584	0.2175169566
585	0.2169883836
586	0.216858772
587	0.2166911604
588	0.2162207627
589	0.2157025123
590	0.2152275898
591	0.2150252885
592	0.2149407873
593	0.2148634552
594	0.214702523
595	0.2145824898
596	0.2145073515
597	0.2144360916
598	0.2137783575
599	0.2136146829
600	0.2134186692
601	0.2127069711
602	0.2125836472
603	0.2123153354
604	0.2122416466
605	0.2115343753
606	0.2113744616
607	0.2109448845
608	0.2107887905
609	0.2106585325
610	0.2105937365
611	0.2101788698
612	0.2101099996
613	0.2100304345
614	0.2097247886
615	0.2096037761
616	0.2094759666
617	0.2089679214
618	0.2084479081
619	0.2081757375
620	0.2076558222
621	0.2075612334
622	0.2071606853
623	0.2069935242
624	0.2067908702
625	0.2064062469
626	0.2063055075
627	0.2060741772
628	0.2058602016
629	0.2057347426
630	0.2053389151
631	0.2052226428
632	0.2049009742
633	0.20481424
634	0.2045426767
635	0.2044711621
636	0.2040610356
637	0.2036839144
638	0.2031448619
639	0.2030233792
640	0.2029099275
641	0.2027605128
642	0.2026627899
643	0.2025020732
644	0.2020786662
645	0.201460225
646	0.201079813
647	0.2006848474
648	0.2004354572
649	0.2002567982
650	0.2001198608
651	0.2000436648
652	0.1999740307
653	0.1997919634
654	0.1994238328
655	0.1993147687
656	0.1991758138
657	0.1985594685
658	0.1984746147
659	0.1979276684
660	0.197812728
661	0.1977078165
662	0.1973644643
663	0.1973096189
664	0.197059171
665	0.1967675107
666	0.196621661
667	0.1958829319
668	0.1957626245
669	0.195504557
670	0.1953849352
671	0.1949261921
672	0.1948214961
673	0.1947276516
674	0.1943953665
675	0.1942921395
676	0.1939660049
677	0.1933606678
678	0.1929158907
679	0.1924017342
680	0.1922991536
681	0.1922412525
682	0.1919486715
683	0.1917886599
684	0.1915985421
685	0.191523345
686	0.1914725738
687	0.1914195696
688	0.1913499551
689	0.1912132723
690	0.1911123175
691	0.1910205493
692	0.1909299172
693	0.1907342169
694	0.1905590052
695	0.1901430025
696	0.1899388403
697	0.1898293256
698	0.189759241
699	0.1896555047
700	0.189387428
701	0.1893305454
702	0.1891816008
703	0.1890933388
704	0.1890123242
705	0.1888503343
706	0.1882801766
707	0.1881215949
708	0.1876243425
709	0.1874920474
710	0.1874018658
711	0.1868543123
712	0.1862912062
713	0.1862172823
714	0.1861261214
715	0.1859614283
716	0.1857045557
717	0.1855183945
718	0.1854531676
719	0.1850193401
720	0.1849218523
721	0.1844899247
722	0.1841469252
723	0.1840664786
724	0.1838439824
725	0.1834745199
726	0.183351529
727	0.1832562938
728	0.1829757984
729	0.1828860086
730	0.182180461
731	0.1817643015
732	0.1817083983
733	0.1815626073
734	0.1814939918
735	0.1813146863
736	0.1810859416
737	0.1806712708
738	0.1802663546
739	0.1802041442
740	0.180116744
741	0.179874523
742	0.179502945
743	0.1793485355
744	0.1788149872
745	0.1785264413
